score,day,temperature_deviation,temperature_trend_deviation,contributors_activity_balance,contributors_hrv_balance,contributors_previous_day_activity,contributors_previous_night,contributors_recovery_index,contributors_resting_heart_rate,contributors_sleep_balance,contributors_body_temperature
88,2024-09-19,0.25,,79,,,88,81,99,,92
94,2024-09-20,-0.03,0.08,89,,96,87,100,98,,100
93,2024-09-21,0.2,0.22,82,,99,89,100,94,,92
72,2024-09-22,0.11,0.11,80,,55,64,100,73,67,97
81,2024-09-23,0.11,0.05,91,,100,64,100,66,80,96
87,2024-09-24,0.07,0.11,79,,87,88,100,100,71,100
86,2024-09-25,-0.02,0.05,88,80,90,88,100,84,75,100
76,2024-09-26,0.09,0.09,84,77,64,90,33,85,77,97
89,2024-09-27,-0.01,0.02,88,86,87,87,100,100,77,100
83,2024-09-28,-0.19,-0.05,86,75,92,73,100,88,73,99
84,2024-09-29,-0.37,-0.1,83,81,69,82,100,88,83,93
92,2024-09-30,-0.36,-0.15,93,87,100,92,100,100,78,93
88,2024-10-01,-0.1,-0.16,78,85,73,100,100,85,89,100
85,2024-10-02,-0.37,-0.34,88,86,95,69,100,84,77,93
87,2024-10-03,-0.35,-0.28,82,86,47,93,100,100,88,93
91,2024-10-04,-0.06,-0.11,87,87,84,91,100,100,90,100
82,2024-10-05,-0.19,-0.26,78,86,85,85,100,58,86,99
70,2024-10-06,0.14,-0.07,82,84,69,43,100,27,88,94
91,2024-10-07,-0.19,-0.05,85,86,100,96,100,84,89,99
88,2024-10-08,-0.18,-0.04,77,76,89,85,100,100,87,99
88,2024-10-09,-0.14,0.03,84,77,98,88,91,100,84,100
82,2024-10-10,-0.16,-0.1,84,72,65,68,100,92,87,100
77,2024-10-11,-0.16,-0.09,83,66,94,91,97,28,83,99
79,2024-10-12,0.01,-0.01,85,71,88,88,100,45,82,100
65,2024-10-13,0.07,0.0,65,58,1,68,100,54,84,100
87,2024-10-14,-0.23,-0.08,92,65,100,100,100,79,80,97
85,2024-10-15,-0.18,0.0,66,56,97,93,100,99,83,99
75,2024-10-16,0.06,0.06,77,56,89,75,61,78,78,100
77,2024-10-17,-0.2,-0.14,76,57,76,76,100,70,86,98
72,2024-10-18,-0.29,-0.11,74,56,61,86,92,55,76,95
63,2024-10-19,0.09,0.07,82,52,87,51,96,7,74,98
70,2024-10-20,0.0,-0.07,86,63,100,36,100,41,79,100
76,2024-10-21,0.15,0.02,76,43,70,100,100,66,75,93
79,2024-10-22,0.31,0.22,87,54,91,78,83,91,71,79
84,2024-10-23,0.23,0.18,86,53,96,94,100,91,79,86
77,2024-10-24,0.35,0.32,85,51,70,88,96,75,75,76
85,2024-10-25,0.24,0.33,86,61,73,96,93,100,80,86
83,2024-10-26,0.23,0.32,88,57,89,93,100,82,80,86
64,2024-10-27,0.41,0.42,81,63,62,50,26,66,77,71
86,2024-10-28,0.35,0.35,94,70,99,76,100,91,80,76
71,2024-10-29,0.5,0.45,82,65,91,78,66,67,78,64
81,2024-10-30,0.32,0.44,89,67,96,84,65,84,80,79
64,2024-10-31,0.24,0.42,87,60,78,39,87,28,71,85
86,2024-11-01,0.05,0.36,90,75,91,89,100,85,78,100
86,2024-11-02,-0.17,0.19,88,69,92,99,100,77,80,99
72,2024-11-03,-0.1,0.15,85,72,68,46,97,69,70,100
74,2024-11-04,-0.03,0.04,95,73,100,57,12,94,75,100
87,2024-11-05,-0.21,-0.09,82,84,69,90,100,100,82,98
89,2024-11-06,-0.38,-0.1,92,83,91,90,100,100,73,92
87,2024-11-07,-0.16,-0.04,86,88,74,82,100,100,78,99
85,2024-11-08,-0.14,-0.14,91,89,88,100,33,93,84,100
82,2024-11-09,-0.13,-0.17,86,87,90,87,100,50,79,100
88,2024-11-10,-0.25,-0.11,86,91,75,100,100,75,90,97
90,2024-11-11,-0.14,-0.07,92,89,100,88,100,83,86,100
92,2024-11-12,-0.19,-0.1,85,90,95,86,100,100,96,99
90,2024-11-13,-0.14,-0.11,91,90,90,93,72,100,89,100
80,2024-11-14,-0.01,-0.03,89,88,78,73,73,65,92,100
84,2024-11-15,-0.03,-0.05,90,89,84,81,100,58,91,100
91,2024-11-16,-0.03,-0.01,88,92,96,88,81,100,89,100
72,2024-11-17,-0.31,-0.08,88,80,79,53,89,42,76,95
82,2024-11-18,-0.27,-0.06,83,87,88,94,75,51,90,96
86,2024-11-19,-0.29,-0.13,86,81,86,86,99,92,75,95
88,2024-11-20,-0.18,-0.19,82,77,89,88,100,100,84,99
70,2024-11-21,-0.01,-0.11,81,65,68,100,21,44,83,100
78,2024-11-22,0.0,-0.09,84,73,85,78,45,85,78,100
81,2024-11-23,-0.11,-0.06,79,63,89,78,94,77,85,100
80,2024-11-24,0.21,0.12,84,58,89,83,100,61,87,88
86,2024-11-25,0.14,0.08,87,69,100,88,100,86,81,94
81,2024-11-26,0.4,0.2,79,68,82,98,100,94,89,72
74,2024-11-27,0.36,0.31,88,64,90,96,1,70,84,76
56,2024-11-28,0.55,0.41,85,61,71,63,1,47,84,60
92,2024-11-29,0.32,0.42,94,86,99,100,100,80,93,79
79,2024-11-30,0.34,0.46,81,68,69,85,100,64,82,77
72,2024-12-01,0.24,0.44,91,67,73,50,100,41,84,85
77,2024-12-02,0.4,0.42,79,71,81,98,58,74,90,73
83,2024-12-03,0.33,0.38,89,72,92,85,100,82,68,78
78,2024-12-04,0.2,0.33,81,66,95,70,100,66,73,89
76,2024-12-05,0.1,0.34,78,74,68,71,50,100,72,97
84,2024-12-06,0.04,0.27,85,87,94,68,97,89,72,100
84,2024-12-07,-0.19,0.1,79,86,86,94,49,94,79,99
76,2024-12-08,-0.06,0.09,78,89,59,86,17,96,74,100
93,2024-12-09,-0.18,-0.02,90,97,100,96,100,95,80,99
90,2024-12-10,-0.24,-0.1,77,93,95,86,100,95,82,97
84,2024-12-11,0.0,0.0,86,95,88,58,89,94,76,100
83,2024-12-12,0.09,-0.01,87,92,78,87,100,46,88,98
90,2024-12-13,0.17,0.03,86,97,92,89,100,87,78,92
89,2024-12-14,0.1,0.12,89,93,91,82,100,87,81,97
89,2024-12-15,-0.27,0.03,96,93,100,77,86,100,74,96
70,2024-12-16,-0.25,0.06,57,91,1,94,35,76,82,96
82,2024-12-17,-0.22,-0.03,98,92,92,92,1,100,75,97
87,2024-12-18,-0.04,-0.1,71,91,99,81,93,100,73,100
70,2024-12-19,0.1,-0.04,72,80,73,26,76,84,69,97
89,2024-12-20,-0.17,-0.09,75,92,100,84,100,100,78,99
79,2024-12-21,0.02,0.07,76,75,87,67,100,83,75,100
81,2024-12-22,0.11,0.11,86,84,100,90,100,43,81,96
78,2024-12-23,-0.1,-0.04,86,77,100,100,29,60,86,100
87,2024-12-24,-0.32,-0.02,88,80,84,89,100,92,83,94
66,2024-12-25,-0.25,0.0,93,61,77,21,76,68,78,97
71,2024-12-26,0.16,0.02,94,73,86,72,50,37,87,92
79,2024-12-27,0.27,0.0,93,70,70,59,99,100,74,82
76,2024-12-28,0.17,0.06,98,65,96,98,26,69,78,92
73,2024-12-29,0.11,0.22,89,72,89,45,75,86,61,96
81,2024-12-30,0.02,0.21,88,66,77,100,100,62,84,100
77,2024-12-31,0.15,0.21,95,77,96,100,8,79,71,93
63,2025-01-01,0.3,0.23,85,70,80,34,87,31,65,80
86,2025-01-02,0.19,0.17,90,83,100,74,100,88,84,90
79,2025-01-03,0.21,0.27,81,77,70,59,100,100,73,88
86,2025-01-04,0.31,0.35,90,84,100,100,52,87,86,79
89,2025-01-05,0.07,0.22,84,87,91,82,100,100,83,99
78,2025-01-06,0.05,0.23,92,85,100,79,1,87,85,100
80,2025-01-07,-0.21,0.12,85,88,86,77,50,79,86,98
78,2025-01-08,0.05,0.12,92,86,84,43,100,63,84,100
88,2025-01-09,-0.17,-0.02,91,88,79,88,98,88,87,99
86,2025-01-10,0.04,0.0,87,87,68,83,97,100,79,100
84,2025-01-11,-0.21,-0.02,91,87,71,100,39,95,83,98
92,2025-01-12,-0.02,0.0,93,88,99,95,100,95,81,100
78,2025-01-13,-0.14,-0.02,82,85,72,92,26,79,82,100
94,2025-01-14,-0.33,-0.16,91,90,97,100,100,100,88,94
90,2025-01-15,0.11,0.06,89,87,92,93,100,87,87,96
88,2025-01-16,-0.15,-0.12,86,87,82,86,100,87,89,100
77,2025-01-17,-0.03,-0.06,86,91,67,73,1,100,85,100
39,2025-01-18,1.5,0.66,84,72,71,28,84,14,79,1
80,2025-01-19,0.32,0.11,,89,,99,100,64,92,79
83,2025-01-20,-0.19,0.27,,85,,88,100,97,74,99
81,2025-01-21,-0.27,0.62,81,79,75,98,40,97,85,96
82,2025-01-22,0.11,0.19,90,83,89,76,94,73,78,96
80,2025-01-23,-0.07,-0.09,81,81,86,56,90,81,81,100
85,2025-01-24,-0.36,-0.16,84,86,79,79,87,97,76,93
81,2025-01-25,-0.22,0.0,81,83,79,100,14,97,83,98
88,2025-01-26,-0.34,-0.18,87,85,100,91,92,89,75,93
80,2025-01-27,-0.15,-0.2,70,80,74,99,100,49,81,100
81,2025-01-28,-0.11,-0.15,84,86,77,91,98,50,79,100
72,2025-01-29,0.04,-0.1,79,76,93,56,84,43,76,100
73,2025-01-30,0.26,0.06,75,75,84,49,100,52,80,84
90,2025-01-31,0.28,0.12,80,86,91,89,100,100,82,82
87,2025-02-01,0.36,0.26,78,73,90,100,92,84,91,75
74,2025-02-02,0.18,0.28,78,84,67,86,29,68,78,90
92,2025-02-03,0.11,0.28,88,86,100,86,100,100,91,96
76,2025-02-04,0.2,0.31,80,78,90,79,67,45,89,89
84,2025-02-05,0.22,0.24,83,86,86,77,94,70,88,87
